District Code,Tehsil Code,Tehsil Name
146,00766,आगरा
146,00765,एत्मादपुर
146,00767,किरावली
146,00768,खेरागढ़
146,00769,फतेहाबाद
146,00770,बाह
143,00754,अतरोली
143,00756,इगलास
143,00755,कोल
143,00752,खैर
143,00753,गभाना
178,00910,अकबरपुर
178,00908,आलापुर
178,00909,जलालपुर
178,00907,टाण्डा
178,00911,भीटी
203,00914,अमेठी
203,00913,गौरीगंज
203,00824,तिलोई
203,00912,मुसाफिरखाना
137,00730,अमरोहा
137,00729,धनौरा
137,01056,नौगावां सादात
137,00731,हसनपुर
162,01026,अजीतमल
162,00842,औरैया
162,00841,बिधूना
177,00906,बीकापुर
177,00903,मिल्कीपुर
177,00902,रूदौली
177,00905,सदर
177,00904,सोहावल
191,00967,निजामाबाद
191,00968,फूलपुर
191,00964,बूढ़नपुर
191,01045,मार्टिनगंज
191,00970,मेहनगर
191,00969,लालगंज
191,00965,सगड़ी
191,00966,सदर
149,00783,दातागंज
149,00782,बदायूँ
149,00780,बिल्सी
149,00779,बिसौली
149,00781,सहसवान
139,00737,खेकडा
139,00735,बडौत
139,00736,बागपत
193,00978,बलिया सदर
193,00979,बाँसडीह
193,00975,बेल्थरा रोड
193,00980,बैरिया
193,00977,रसड़ा
193,00976,सिकन्दरपुर
182,00927,उतरौला
182,00926,तुलसीपुर
182,00925,बलरामपुर
170,00873,अतर्रा
170,00874,नरैनी
170,01029,पैलानी
170,00872,बबेरू
170,00871,बाँदा
176,00898,नबाबगंज
176,00896,फतेहपुर
176,00897,रामनगर
176,00900,रामसनेही घाट
176,00899,सिरौली गौसपुर
176,00901,हैदरगढ़
150,00786,आंवला
150,00788,नवावगंज
150,00789,फरीदपुर
150,00787,बरेली
150,00784,बहेड़ी
150,00785,मीरगंज
185,00939,बस्ती
185,00937,भानपुर
185,00940,रूधौली
185,00938,हरैया
180,00922,कैसरगंज
180,00919,नानपारा
180,01052,पयागपुर
180,00921,बहराइच
180,00920,महसी
180,01055,मिहींपुरवा स्थित मोतीपुर
198,00999,औराई्
198,00998,ज्ञानपुर
198,00997,भदोही
134,00716,चाँदपुर
134,00715,धामपुर
134,00714,नगीना
134,00712,नजीबाबाद
134,00713,बिजनौर
142,00748,अनूपशहर
142,00751,खुर्जा
142,00749,डिबाई
142,00746,बुलन्दशहर
142,00750,शिकारपुर
142,00745,सिकन्द्राबाद
142,00747,स्याना
196,00994,चकिया
196,00993,चन्दौली
196,01053,नौगढ़
196,01042,मुगलसराय
196,00992,सकलडीहा
171,00875,कर्वी
171,00876,मऊ
171,01031,मानिकपुर
171,01032,राजापुर
190,00959,देवरिया
190,00961,बरहज
190,00963,भाटपाररानी
190,00960,रुद्रपुर
190,00962,सलेमपुर
201,01007,अलीगंज
201,01008,एटा
201,01009,जलेसर
161,00838,इटावा
161,00840,चकरनगर
161,00836,जसवंतनगर
161,01013,ताखा
161,00839,भरथना
161,00837,सैफई
159,00831,अमृतपुर
159,00830,कायमगंज
159,00832,र्फरुखाबाद
172,00879,खागा
172,00878,फतेहपुर सदर
172,00877,बिन्दकी
147,00773,जसराना
147,00771,टूण्डला
147,00772,फिरोजाबाद
147,00774,शिकोहावाद
147,01040,सिरसागंज
141,00743,गौतमबुद्धनगर
141,00744,जेवर
141,00742,दादरी
140,00739,गाजियाबाद
140,00738,मोदीनगर
140,01028,लोनी
195,01043,कासिमाबाद
195,00989,गाजीपुर
195,00987,जखनियाँ
195,00991,जमानियां
195,00990,मुहम्मदावाद
195,01051,सेवराई
195,00988,सैदपुर
183,00929,करनैलगंज
183,00928,गोण्डा
183,00930,तरबगंज
183,00931,मनकापुर
188,00948,कैम्पियरगंज
188,00953,खजनी
188,00954,गोला
188,00951,चौरीचौरा
188,00952,बाँसगांव
188,00950,सदर
188,00949,सहजनवां
168,00867,मौदहा
168,00865,राठ
168,00866,सरीला
168,00864,हमीरपुर
204,00741,गढ़ मुक्तेश्वर
204,01019,धौलाना
204,00740,हापुड़
155,00812,बिलग्राम
155,00809,शाहाबाद
155,00813,सण्डीला
155,00810,सवायजपुर
155,00811,हरदोई
144,00760,सादाबाद
144,00757,सासनी
144,00758,सिकन्दराराऊ
144,00759,हाथरस
165,00854,उरई
165,00853,कालपी
165,00855,कोंच
165,00852,जालौन
165,00851,माधौगढ़
194,00986,केराकत
194,00982,बदलापुर
194,00983,मछली शहर
194,00985,मडियाहूँ
194,00981,शाहगंज
194,00984,सदर
166,00857,गरौठा
166,00860,झांसी
166,00858,टहरौली
166,00859,मऊरानीपुर
166,00856,मोंठ
160,00834,कन्नौज
160,00833,छिबरामऊ
160,00835,तिर्वा
163,00845,अकबरपुर
163,00844,डेरापुर
163,00846,भोगनीपुर
163,01050,मैथा
163,00843,रसूलाबाद
163,00847,सिकन्दरा
164,00849,कानपुर सदर
164,00850,घाटमपुर
164,01049,नरवल
164,00848,बिल्हौर
202,01010,कासगंज
202,01012,पटियाली
202,01011,सहावर
174,00887,चायल
174,00886,मंझनपुर
174,00885,सिराथू
153,00799,गोला
153,00802,धौरहरा
153,00797,निंघासन
153,00798,पलिया
153,01030,मितौली
153,00800,मोहम्मदी
153,00801,लखीमपुर खीरी
189,01037,कप्तानगंज
189,00957,कसया
189,01036,खड्डा
189,00958,तमकुही राज
189,00955,पडरौना
189,00956,हाटा
167,00861,तालबेहट
167,01046,पाली
167,01047,मडावरा
167,00863,महरौनी
167,00862,ललितपुर
157,00820,बख्शी का तालाब
157,00819,मलिहाबाद
157,00822,मोहनलालगंज
157,00821,लखनऊ
157,01041,सरोजनी नगर
187,00945,निचलौल
187,00944,नौतनवॉ
187,00946,फरेन्दा
187,00947,महराजगंज
169,00868,कुलपहाङ
169,00869,चरखारी
169,00870,महोबा
148,00776,करहल
148,01033,किशनी
148,01054,कुरावली
148,01044,घिरोर
148,00777,भोगांव
148,00775,मैनपुरी
145,01048,गोवर्धन
145,00761,छाता
145,00763,महावन
145,00762,मांट
145,00764,सदर
192,00971,घोसी
192,00973,मऊनाथ भंजन
192,00972,मधुबन
192,00974,मुहम्मदाबाद गोहना
138,00733,मवाना
138,00734,सदर
138,00732,सरधना
199,01003,चुनार
199,01002,मडिहान
199,01001,लालगंज
199,01000,सदर
135,00718,कांठ
135,00717,ठाकुरद्वारा
135,00720,बिलारी
135,00719,मुरादाबाद
133,00710,खतौली
133,00711,जानसठ
133,00709,बुढ़ाना
133,00708,सदर
151,01059,अमरिया
151,01057,कलीनगर
151,00790,पीलीभीत
151,00792,पूरनपुर
151,00791,बीसलपुर
173,00881,कुण्डा
173,00883,पटटी
173,00882,प्रतापगढ़
173,00884,रानीगंज
173,00880,लालगंज
175,00892,करछना
175,00895,कोरांव
175,00889,फूलपुर
175,00891,बारा
175,00894,मेजा
175,00890,सदर
175,00888,सोरांव
175,00893,हंडिया
158,00828,ऊँचाहार
158,00827,डलमऊ
158,00823,महराजगंज
158,00825,रायबरेली
158,00826,लाल गंज
158,00829,सलोन
136,00724,टाण्डा
136,00725,बिलासपुर
136,00728,मिलक
136,00727,शाहवाद
136,00726,सदर
136,00723,स्वार
132,00704,देवबन्द
132,00703,नकुड़
132,00701,बेहट
132,00705,रामपुर मनिहारान
132,00702,सहारनपुर
205,00778,गुन्नौर
205,00722,चन्दौसी
205,00721,सम्भल
186,00942,खलीलाबाद
186,00943,धनघटा
186,00941,मेहदावल
152,01060,कलान
152,00796,जलालाबाद
152,00794,तिलहर
152,00793,पुवायाँ
152,00795,सदर
206,01039,ऊन
206,00706,कैराना
206,00707,शामली
181,00924,इकौना
181,01034,जमुनहा
181,00923,भिनगा
184,00935,इटवा
184,00936,डुमरियागंज
184,00933,नौगढ
184,00934,बाँसी
184,00932,शोहरतगढ़
154,00806,बिसवां
154,00807,महमूदाबाद
154,01027,महोली
154,00803,मिश्रिख
154,00805,लहरपुर
154,00808,सिधौली
154,00804,सीतापुर
200,01062,ओबरा
200,01004,घोरावल
200,01006,दुद्धी
200,01005,राबर्टसगंज
179,00918,कादीपुर
179,00916,जयसिंहपुर
179,01058,बल्दीराय
179,00917,लम्भुआ
179,00915,सदर
156,00816,उन्नाव
156,00817,पुरवा
156,01038,बांगरमऊ
156,00818,बीघापुर
156,00814,सफीपुर
156,00815,हसनगंज
197,00995,पिण्डरा
197,01035,राजा तालाब
197,00996,सदर
