District Code,Tehsil Code,Village Code,Village Name
137,00731,118219,तिगरिया खादर
137,00731,118516,तिगरिया नादिरशाह
137,00731,118318,तिमनपुर
137,00731,118288,तुकलाबाद
137,00731,118410,तुरतीपुर
137,00731,118283,तेलीपुरा खालसा
137,00731,118252,तेलीपुरा माफी
137,00731,118285,त्रिलोकपुर
137,00731,118564,दडि़याल
137,00731,118530,दमगढा
137,00731,118397,दमगढ़ी
137,00731,118213,दरियापुर खादर
137,00731,118520,दरियापुर तुगन
137,00731,118355,दाऊदपुर जागींर
137,00731,118221,दाऊदपुर बुजुर्ग
137,00731,118310,दाऊदपुर मजरा
137,00731,118276,दाऊदपुर महरूनिशा
137,00731,118325,दियावली खालसा
137,00731,118336,दीपपुर
137,00731,118511,दुल्हापुर अहीर
137,00731,118279,दुल्हापुर वीरान
137,00731,118303,देहरा
137,00731,118566,देहरी खादर
137,00731,118463,देहरी गूजर ऐ.
137,00731,118464,देहरी गूजर मु.
137,00731,118266,देहरी जट
137,00731,118498,दौरारा
137,00731,118447,दौलतपुर कलां
137,00731,118552,दौलतपुर जनूवी
137,00731,118267,दौलतपुर नहरी
137,00731,118392,धनसिया
137,00731,118517,धनापुर
137,00731,118264,धारंगपुर
137,00731,118330,धीमरखेड़ी
137,00731,118217,धौरिया ऐहतमाली
137,00731,118466,नबावपुरा खादर
137,00731,118411,नवादा
137,00731,118259,नसिरपुर मुंतासिर याक
137,00731,118496,नानई लिसड़ा ऐ.
137,00731,118473,नानई लिसड़ा मु.
137,00731,118385,निजामपुर शर्की
137,00731,118235,निजामपुर शुमाली
137,00731,118453,निरयाबली
137,00731,118354,नुरपुर खुर्द
137,00731,118287,नूरपुर कलां
137,00731,118502,नंगला खादर
137,00731,118246,नंगला शुमाली
137,00731,118269,नंगलिया जट
137,00731,118298,नंगलिया मुंशी
137,00731,118440,पतेई खादर
137,00731,118256,पतेई भूड़
137,00731,118480,पथरा ऐहतमाली
137,00731,118481,पथरा मु.
137,00731,118503,पसुवा नंगला
137,00731,118361,पहाड़पुर बक्काल
137,00731,118424,पाईन्दापुर ऐ.
137,00731,118431,पाईन्दापुर मु.
137,00731,118512,पाडली
137,00731,118423,पिपलौती कलां ऐ.
137,00731,118422,पिपलौती कंला मु.
137,00731,118425,पिपलौती खुर्द ऐ.
137,00731,118426,पिपलौती खुर्द मु.
137,00731,118284,पीठ खेड़ा
137,00731,118245,पीपली दाउद
137,00731,118378,पीपली बक्काल
137,00731,118271,पीपली मेक चन्द
137,00731,118405,पुटसल
137,00731,118531,पुरसल
137,00731,118243,पूठी
137,00731,118493,पौरारा ऐ.
137,00731,118494,पौरारा मु.
137,00731,118400,पंडका
